"Data_Reference" "Data_Origin" "SRR_Sample" "File_Accession" "Experiment_Accession" "Paired" "Nature"
"TCGA-D9-A6EC-06A" "TCGA" "" "" "" "" "bam"
"TCGA-CF-A1HR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BK-A13B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2G-AAH8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B9-A5W8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-KU-A66S-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0EV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A8-A06N-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46H-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A51D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DB-A75K-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-7318-01B" "TCGA" "" "" "" "" "bam"
"TCGA-SS-A7HO-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EA-A3HT-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MP-A4SV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12O-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AR-A0TP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A03N-01B" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0SW-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0T5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0EX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-3X-AAVA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IC-A6RE-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AQ-A04L-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A8F7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-98-A53J-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CD-A486-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D7-A4YX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-XE-AANI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A10T-01A" "TCGA" "" "" "" "" "bam"
"TCGA-ZH-A8Y5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CC-A7IF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0Z2-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0ZA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-VN-A88K-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A7DP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-VQ-A91E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A512-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A4P3-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CD-A48C-01A" "TCGA" "" "" "" "" "bam"
"TCGA-FD-A3SR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-76-6656-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A7NM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BG-A0RY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-H4-A2HO-01C" "TCGA" "" "" "" "" "bam"
"TCGA-3U-A98I-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AY-A69D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DM-A28G-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AY-A71X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QT-A5XM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-L5-A4OE-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BG-A0MH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-XV-AAZY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LG-A9QC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0BZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A03L-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AR-A0U0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A6-A566-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A6-A567-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A00L-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QG-A5YX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-RW-A8AZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DU-6395-02A" "TCGA" "" "" "" "" "bam"
"TCGA-CN-A49B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A49O-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A9FQ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B1-A47N-01A" "TCGA" "" "" "" "" "bam"
"TCGA-KV-A74V-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A01R-01A" "TCGA" "" "" "" "" "bam"
"TCGA-F7-A624-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2G-AAKG-05A" "TCGA" "" "" "" "" "bam"
"TCGA-B9-A5W9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-3Z-A93Z-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CJ-5677-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CV-A468-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A290-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54J-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BA-A4IH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-TT-A6YP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A452-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54H-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4A-A93X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-WB-A818-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B5-A0JN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A12D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A7-A13F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A124-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EB-A5SH-06A" "TCGA" "" "" "" "" "bam"
"TCGA-D9-A1JW-06A" "TCGA" "" "" "" "" "bam"
"TCGA-49-AARO-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4B-A93V-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AR-A0U4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0C1-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0B5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-33-A4WN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DJ-A13V-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DJ-A13X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DA-A95W-06A" "TCGA" "" "" "" "" "bam"
"TCGA-EB-A24C-01A" "TCGA" "" "" "" "" "bam"
"TCGA-F9-A7Q0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BL-A13J-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B9-A8YI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-HE-A5NI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-H7-A76A-01A" "TCGA" "" "" "" "" "bam"
"TCGA-HE-A5NK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P4-A5E6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D6-A6EP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12Y-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12U-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0T4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A137-01A" "TCGA" "" "" "" "" "bam"
"TCGA-S3-AA0Z-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12Q-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0EY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0ET-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A0JG-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0BA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A12F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A3PU-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A3KF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LK-A4NW-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LK-A4O6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CJ-5679-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A10W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-G3-AAV0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-W6-AA0T-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A625-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D3-A8GM-06A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A4MR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IA-A40U-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2G-AAFM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4C-A93U-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A3YA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QT-A69Q-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A10U-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A192-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CU-A3YL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-HE-A5NJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OX-A56R-01A" "TCGA" "" "" "" "" "bam"
"TCGA-W7-A93N-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DU-5870-02A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0DV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A4QR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-Q2-A5QZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QG-A5YV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-GV-A3JW-01A" "TCGA" "" "" "" "" "bam"
"TCGA-KU-A6H7-06A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A4A5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-W9-A837-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-F9-A7VF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A4A2-01A" "TCGA" "" "" "" "" "bam"
"TCGA-YL-A8SB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A10X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-HE-A5NH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DD-AACB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DD-AAC8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-L4-A4E6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A0J8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BG-A0MK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DV-A4VX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5K8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5J9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-PK-A5H8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5KX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D3-A8GP-06A" "TCGA" "" "" "" "" "bam"
"TCGA-VQ-A91W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-86-A4P7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A10S-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A00Q-01A" "TCGA" "" "" "" "" "bam"
"TCGA-XC-AA0X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-3L-AA1B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A02F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AY-A54L-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D7-A6EZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-ZG-A9L1-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A8FP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-YL-A8SP-01B" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46G-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0DL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-3C-AALJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YT-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A7-A0CH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12T-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YG-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12M-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0T6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0ES-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A7-A0D9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A50M-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A4JB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-VP-A875-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MP-A4TE-01A" "TCGA" "" "" "" "" "bam"
"TCGA-93-A4JQ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2K-A9WE-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A8HZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54G-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IG-A4QS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-KC-A4BV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A5W4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-93-A4JN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DK-A1AD-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B1-A654-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BK-A0C9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5J3-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5JZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A0JM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0CX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EB-A5KH-06A" "TCGA" "" "" "" "" "bam"
"TCGA-SH-A9CU-01A" "TCGA" "" "" "" "" "bam"
"TCGA-XE-AAOF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-XE-AAOD-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-GK-A6C7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MM-A564-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BL-A3JM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-J1-A4AH-01A" "TCGA" "" "" "" "" "bam"
"TCGA-98-A53A-01A" "TCGA" "" "" "" "" "bam"
"TCGA-63-A5MR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A49W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-L7-A6VZ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-YL-A9WK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LN-A7HX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P5-A72W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J1-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J2-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B5-A11Y-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B5-A0JT-01A" "TCGA" "" "" "" "" "bam"
"TCGA-F6-A8O3-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P5-A72X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D8-A13Z-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A8-A08J-01A" "TCGA" "" "" "" "" "bam"
"TCGA-HF-A5NB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5J2-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A00E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A010-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A8F8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EA-A3HT-01A" "TCGA" "" "" "" "" "bam"
"TCGA-81-5910-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0T7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A8HR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A4RX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BG-A0MS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P5-A77X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-ZG-A9L0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A8FN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CC-A123-01A" "TCGA" "" "" "" "" "bam"
"TCGA-FG-A4MY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CE-A13K-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A01S-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A00J-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A024-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A02E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4CR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MP-A4T4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-L9-A8F4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A6-A565-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A024-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B9-A44B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P4-A5EA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-3U-A98E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EB-A3XF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QL-A97D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A4CL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4J5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-91-A4BD-01A" "TCGA" "" "" "" "" "bam"
"TCGA-44-3918-01A" "TCGA" "" "" "" "" "bam"
"TCGA-73-A9RS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-93-A4JO-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A0JB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AO-A0J5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EA-A3HS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-06-A7TL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EA-A3HT-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A01D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A6GA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A6-A56B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A022-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0EW-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A8-A094-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-FG-A4MU-01B" "TCGA" "" "" "" "" "bam"
"TCGA-P5-A735-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2G-AAGS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MQ-A4KX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-91-A4BC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MP-A4T7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A130-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A7-A13E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A133-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0B1-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4H-AAAK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0EE-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12K-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0ZC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B5-A0K9-01A" "TCGA" "" "" "" "" "bam"
"TCGA-OR-A5J6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-ZH-A8Y7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A010-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4N-A93T-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A01P-01A" "TCGA" "" "" "" "" "bam"
