Data_Reference	Data_Origin	SRR_Sample	File_Accession	Experiment_Accession	Paired	Nature	Seqdepth
TCGA-KIRP-165	TCGA		TCGA-UZ-A9PL-01A			bam	344612854
TCGA-KIRP-169	TCGA		TCGA-B9-A5W9-01A			bam	519715709
TCGA-KIRP-180	TCGA		TCGA-4A-A93X-01A			bam	1685508515
TCGA-KIRP-200	TCGA		TCGA-F9-A7Q0-01A			bam	297695999
TCGA-KIRP-202	TCGA		TCGA-B9-A8YI-01A			bam	433731339
TCGA-KIRP-203	TCGA		TCGA-HE-A5NI-01A			bam	230602484
TCGA-KIRP-205	TCGA		TCGA-HE-A5NK-01A			bam	271425280
TCGA-KIRP-206	TCGA		TCGA-P4-A5E6-01A			bam	394171926
TCGA-KIRP-22	TCGA		TCGA-PJ-A8JU-01A			bam	301234370
TCGA-KIRP-231	TCGA		TCGA-IA-A40U-01A			bam	269638561
TCGA-KIRP-240	TCGA		TCGA-HE-A5NJ-01A			bam	490710403
TCGA-KIRP-246	TCGA		TCGA-Q2-A5QZ-01A			bam	282882270
TCGA-KIRP-252	TCGA		TCGA-UZ-A9PJ-01A			bam	293707317
TCGA-KIRP-253	TCGA		TCGA-F9-A7VF-01A			bam	376329771
TCGA-KIRP-257	TCGA		TCGA-HE-A5NH-01A			bam	333260457
TCGA-KIRP-27	TCGA		TCGA-GL-A9DC-01A			bam	319111927
TCGA-KIRP-29	TCGA		TCGA-4A-A93Y-01A			bam	400177519
TCGA-KIRP-299	TCGA		TCGA-2K-A9WE-01A			bam	284993990
TCGA-KIRP-308	TCGA		TCGA-B1-A654-01A			bam	377671579
TCGA-KIRP-31	TCGA		TCGA-F9-A8NY-01A			bam	955055927
TCGA-KIRP-323	TCGA		TCGA-UZ-A9PP-01A			bam	289379594
TCGA-KIRP-367	TCGA		TCGA-B9-A44B-01A			bam	278907406
TCGA-KIRP-368	TCGA		TCGA-P4-A5EA-01A			bam	299243707
TCGA-KIRP-372	TCGA		TCGA-UZ-A9PK-01A			bam	303647333
TCGA-KIRP-43	TCGA		TCGA-UZ-A9PQ-01A			bam	368806883
TCGA-KIRP-44	TCGA		TCGA-UZ-A9PV-01A			bam	392746568
TCGA-KIRP-45	TCGA		TCGA-P4-A5EB-01A			bam	336884014
TCGA-KIRP-54	TCGA		TCGA-P4-A5ED-01B			bam	689519107
TCGA-KIRP-70	TCGA		TCGA-UZ-A9PM-01A			bam	268852083
TCGA-KIRP-72	TCGA		TCGA-IA-A40X-01A			bam	415922567
TCGA-KIRP-73	TCGA		TCGA-P4-AAVL-01A			bam	269498134
TCGA-KIRP-98	TCGA		TCGA-B9-A5W8-01A			bam	355511750
TCGA-LGG-104	TCGA		TCGA-DB-A75K-01A			bam	243014353
TCGA-LGG-159	TCGA		TCGA-DU-6395-02A			bam	391995611
TCGA-LGG-243	TCGA		TCGA-DU-5870-02A			bam	291574930
TCGA-LGG-251	TCGA		TCGA-W9-A837-01A			bam	144994719
TCGA-LGG-331	TCGA		TCGA-P5-A72W-01A			bam	306112028
TCGA-LGG-336	TCGA		TCGA-F6-A8O3-01A			bam	333082460
TCGA-LGG-337	TCGA		TCGA-P5-A72X-01A			bam	100289786
TCGA-LGG-351	TCGA		TCGA-P5-A77X-01A			bam	289645396
TCGA-LGG-355	TCGA		TCGA-FG-A4MY-01A			bam	281635036
TCGA-LGG-391	TCGA		TCGA-FG-A4MU-01B			bam	402397513
TCGA-LGG-392	TCGA		TCGA-P5-A735-01A			bam	222950598
TCGA-LGG-55	TCGA		TCGA-E1-A7YI-01A			bam	363470446
TCGA-LGG-56	TCGA		TCGA-DU-6407-02B			bam	280191987
TCGA-LIHC-126	TCGA		TCGA-CC-A7IF-01A			bam	421291073
TCGA-LIHC-149	TCGA		TCGA-LG-A9QC-01A			bam	322845949
TCGA-LIHC-220	TCGA		TCGA-BC-A3KF-01A			bam	255483251
TCGA-LIHC-224	TCGA		TCGA-BC-A10W-01A			bam	353955156
TCGA-LIHC-225	TCGA		TCGA-G3-AAV0-01A			bam	318091455
TCGA-LIHC-237	TCGA		TCGA-BC-A10U-01A			bam	988743791
TCGA-LIHC-256	TCGA		TCGA-BC-A10X-01A			bam	322773141
TCGA-LIHC-258	TCGA		TCGA-DD-AACB-01A			bam	253475467
TCGA-LIHC-259	TCGA		TCGA-DD-AAC8-01A			bam	682656175
TCGA-LIHC-271	TCGA		TCGA-BC-A10S-01A			bam	415362833
TCGA-LIHC-305	TCGA		TCGA-BC-A5W4-01A			bam	281211229
TCGA-LIHC-354	TCGA		TCGA-CC-A123-01A			bam	330754826
TCGA-LIHC-40	TCGA		TCGA-DD-AACI-01A			bam	306623550
TCGA-LIHC-42	TCGA		TCGA-BC-A8YO-01A			bam	331807369
TCGA-LIHC-68	TCGA		TCGA-DD-AACL-01A			bam	214797521
TCGA-LIHC-83	TCGA		TCGA-LG-A9QD-01A			bam	368171287
TCGA-LUAD-108	TCGA		TCGA-MP-A4SV-01A			bam	265778049
TCGA-LUAD-189	TCGA		TCGA-49-AARO-01A			bam	433196573
TCGA-LUAD-190	TCGA		TCGA-4B-A93V-01A			bam	204623664
TCGA-LUAD-260	TCGA		TCGA-L4-A4E6-01A			bam	397010950
TCGA-LUAD-270	TCGA		TCGA-86-A4P7-01A			bam	321850572
TCGA-LUAD-297	TCGA		TCGA-MP-A4TE-01A			bam	346949009
TCGA-LUAD-298	TCGA		TCGA-93-A4JQ-01A			bam	201523689
TCGA-LUAD-306	TCGA		TCGA-93-A4JN-01A			bam	274156590
TCGA-LUAD-32	TCGA		TCGA-86-A4D0-01A			bam	789561927
TCGA-LUAD-33	TCGA		TCGA-44-6146-01A			bam	1032306298
TCGA-LUAD-363	TCGA		TCGA-MP-A4T4-01A			bam	301432823
TCGA-LUAD-364	TCGA		TCGA-L9-A8F4-01A			bam	372278432
TCGA-LUAD-375	TCGA		TCGA-91-A4BD-01A			bam	389690804
TCGA-LUAD-376	TCGA		TCGA-44-3918-01A			bam	251365530
TCGA-LUAD-377	TCGA		TCGA-73-A9RS-01A			bam	286138409
TCGA-LUAD-378	TCGA		TCGA-93-A4JO-01A			bam	262368677
TCGA-LUAD-395	TCGA		TCGA-91-A4BC-01A			bam	253120854
TCGA-LUAD-396	TCGA		TCGA-MP-A4T7-01A			bam	226261658
TCGA-LUAD-5	TCGA		TCGA-MP-A4TF-01A			bam	259155217
TCGA-LUAD-51	TCGA		TCGA-86-A4P8-01A			bam	397069700
TCGA-LUAD-52	TCGA		TCGA-NJ-A4YG-01A			bam	262923348
TCGA-LUAD-6	TCGA		TCGA-44-A47F-01A			bam	402293896
TCGA-LUSC-120	TCGA		TCGA-98-A53J-01A			bam	336750618
TCGA-LUSC-132	TCGA		TCGA-85-A512-01A			bam	467409836
TCGA-LUSC-15	TCGA		TCGA-O2-A52N-01A			bam	245701124
TCGA-LUSC-16	TCGA		TCGA-37-A5EM-01A			bam	259509989
TCGA-LUSC-18	TCGA		TCGA-85-A4CN-01A			bam	305640831
TCGA-LUSC-19	TCGA		TCGA-MF-A522-01A			bam	227154303
TCGA-LUSC-195	TCGA		TCGA-33-A4WN-01A			bam	413377932
TCGA-LUSC-245	TCGA		TCGA-85-A4QR-01A			bam	312739013
TCGA-LUSC-273	TCGA		TCGA-XC-AA0X-01A			bam	247507126
TCGA-LUSC-294	TCGA		TCGA-85-A50M-01A			bam	259946004
TCGA-LUSC-295	TCGA		TCGA-85-A4JB-01A			bam	251415794
TCGA-LUSC-324	TCGA		TCGA-J1-A4AH-01A			bam	249914931
TCGA-LUSC-325	TCGA		TCGA-98-A53A-01A			bam	306432590
TCGA-LUSC-326	TCGA		TCGA-63-A5MR-01A			bam	282527329
TCGA-LUSC-34	TCGA		TCGA-77-A5G6-01A			bam	267924031
TCGA-LUSC-373	TCGA		TCGA-85-A4CL-01A			bam	356818434
TCGA-MESO-141	TCGA		TCGA-3U-A98I-01A			bam	418841564
TCGA-MESO-21	TCGA		TCGA-LK-A4NY-01A			bam	462566185
TCGA-MESO-221	TCGA		TCGA-LK-A4NW-01A			bam	770895231
TCGA-MESO-222	TCGA		TCGA-LK-A4O6-01A			bam	353356648
TCGA-MESO-315	TCGA		TCGA-SH-A9CU-01A			bam	354686270
TCGA-MESO-369	TCGA		TCGA-3U-A98E-01A			bam	284157183
TCGA-MESO-394	TCGA		TCGA-MQ-A4KX-01A			bam	374783620
TCGA-PCPG-145	TCGA		TCGA-QT-A5XM-01A			bam	279365961
TCGA-PCPG-158	TCGA		TCGA-RW-A8AZ-01A			bam	712888935
TCGA-PCPG-176	TCGA		TCGA-TT-A6YP-01A			bam	235536090
TCGA-PCPG-181	TCGA		TCGA-WB-A818-01A			bam	265040329
TCGA-PCPG-235	TCGA		TCGA-QT-A69Q-01A			bam	359713112
TCGA-PCPG-48	TCGA		TCGA-QT-A5XN-01A			bam	342930952
TCGA-PCPG-50	TCGA		TCGA-RT-A6YA-01A			bam	332828475
TCGA-PCPG-58	TCGA		TCGA-QT-A5XJ-01A			bam	255516662
TCGA-PCPG-7	TCGA		TCGA-RM-A68W-01A			bam	299303222
TCGA-PRAD-102	TCGA		TCGA-EJ-A46H-01A			bam	362263258
TCGA-PRAD-105	TCGA		TCGA-EJ-7318-01B			bam	278367249
TCGA-PRAD-129	TCGA		TCGA-VN-A88K-01A			bam	320507868
TCGA-PRAD-138	TCGA		TCGA-EJ-A7NM-01A			bam	265527717
TCGA-PRAD-227	TCGA		TCGA-EJ-A46E-01A			bam	267010053
TCGA-PRAD-23	TCGA		TCGA-SU-A7E7-01A			bam	269295296
TCGA-PRAD-255	TCGA		TCGA-YL-A8SB-01A			bam	273599555
TCGA-PRAD-278	TCGA		TCGA-ZG-A9L1-01A			bam	276386972
TCGA-PRAD-279	TCGA		TCGA-EJ-A8FP-01A			bam	311406370
TCGA-PRAD-280	TCGA		TCGA-YL-A8SP-01B			bam	227832465
TCGA-PRAD-281	TCGA		TCGA-EJ-A46G-01A			bam	270196817
TCGA-PRAD-296	TCGA		TCGA-VP-A875-01A			bam	263191397
TCGA-PRAD-301	TCGA		TCGA-EJ-A46F-01A			bam	389577037
TCGA-PRAD-304	TCGA		TCGA-KC-A4BV-01A			bam	263938897
TCGA-PRAD-329	TCGA		TCGA-YL-A9WK-01A			bam	245176441
TCGA-PRAD-352	TCGA		TCGA-ZG-A9L0-01A			bam	411655595
TCGA-PRAD-353	TCGA		TCGA-EJ-A8FN-01A			bam	226698420
TCGA-PRAD-390	TCGA		TCGA-EJ-A46B-01A			bam	328000584
TCGA-PRAD-65	TCGA		TCGA-ZG-A9L2-01A			bam	373061896
TCGA-PRAD-66	TCGA		TCGA-EJ-A7NG-01A			bam	237130993
TCGA-PRAD-75	TCGA		TCGA-EJ-A65B-01A			bam	299180589
TCGA-PRAD-76	TCGA		TCGA-EJ-7218-01B			bam	310675202
TCGA-PRAD-85	TCGA		TCGA-EJ-A65F-01A			bam	285284509
TCGA-PRAD-86	TCGA		TCGA-EJ-A46D-01A			bam	290691886
TCGA-PRAD-87	TCGA		TCGA-YL-A8SL-01B			bam	278245920
TCGA-PRAD-88	TCGA		TCGA-YL-A8HJ-01A			bam	281386513
TCGA-SKCM-148	TCGA		TCGA-XV-AAZY-01A			bam	249122591
TCGA-SKCM-187	TCGA		TCGA-EB-A5SH-06A			bam	317908937
TCGA-SKCM-188	TCGA		TCGA-D9-A1JW-06A			bam	439545631
TCGA-SKCM-198	TCGA		TCGA-DA-A95W-06A			bam	364216727
TCGA-SKCM-199	TCGA		TCGA-EB-A24C-01A			bam	421005499
TCGA-SKCM-229	TCGA		TCGA-D3-A8GM-06A			bam	305439075
TCGA-SKCM-24	TCGA		TCGA-D9-A6EA-06A			bam	284242303
TCGA-SKCM-25	TCGA		TCGA-EB-A3Y6-01A			bam	112502794
TCGA-SKCM-268	TCGA		TCGA-D3-A8GP-06A			bam	367858182
TCGA-SKCM-314	TCGA		TCGA-EB-A5KH-06A			bam	305087606
TCGA-SKCM-370	TCGA		TCGA-EB-A3XF-01A			bam	105478947
TCGA-SKCM-93	TCGA		TCGA-DA-A95Y-06A			bam	357860386
TCGA-SKCM-94	TCGA		TCGA-D9-A6EC-06A			bam	458102447
TCGA-STAD-10	TCGA		TCGA-BR-A4IY-01A			bam	262945533
TCGA-STAD-121	TCGA		TCGA-CD-A486-01A			bam	321956527
TCGA-STAD-122	TCGA		TCGA-D7-A4YX-01A			bam	265444443
TCGA-STAD-131	TCGA		TCGA-VQ-A91E-01A			bam	264526721
TCGA-STAD-133	TCGA		TCGA-BR-A4J4-01A			bam	286536623
TCGA-STAD-135	TCGA		TCGA-CD-A48C-01A			bam	278005856
TCGA-STAD-17	TCGA		TCGA-BR-A4QL-01A			bam	119743262
TCGA-STAD-177	TCGA		TCGA-BR-A452-01A			bam	248032521
TCGA-STAD-269	TCGA		TCGA-VQ-A91W-01A			bam	316250206
TCGA-STAD-277	TCGA		TCGA-D7-A6EZ-01A			bam	233317072
TCGA-STAD-318	TCGA		TCGA-BR-A4J7-01A			bam	266716395
TCGA-STAD-319	TCGA		TCGA-BR-A4J6-01A			bam	256198114
TCGA-STAD-332	TCGA		TCGA-BR-A4J1-01A			bam	296250612
TCGA-STAD-333	TCGA		TCGA-BR-A4J2-01A			bam	247210499
TCGA-STAD-340	TCGA		TCGA-HF-A5NB-01A			bam	249069667
TCGA-STAD-361	TCGA		TCGA-BR-A4J9-01A			bam	288174579
TCGA-STAD-362	TCGA		TCGA-BR-A4CR-01A			bam	355948014
TCGA-STAD-374	TCGA		TCGA-BR-A4J5-01A			bam	432613034
TCGA-STAD-47	TCGA		TCGA-VQ-A8PJ-01A			bam	324163030
TCGA-STAD-64	TCGA		TCGA-VQ-A94O-01A			bam	296399225
TCGA-STAD-91	TCGA		TCGA-BR-A4CS-01A			bam	659036716
TCGA-TGCT-123	TCGA		TCGA-XE-AANI-01A			bam	738507851
TCGA-TGCT-168	TCGA		TCGA-2G-AAKG-05A			bam	253122976
TCGA-TGCT-20	TCGA		TCGA-4K-AA1I-01A			bam	337373057
TCGA-TGCT-232	TCGA		TCGA-2G-AAFM-01A			bam	276516368
TCGA-TGCT-316	TCGA		TCGA-XE-AAOF-01A			bam	240662530
TCGA-TGCT-317	TCGA		TCGA-XE-AAOD-01A			bam	314806630
TCGA-TGCT-393	TCGA		TCGA-2G-AAGS-01A			bam	309600674
TCGA-TGCT-53	TCGA		TCGA-2G-AAFO-01A			bam	307981156
TCGA-TGCT-97	TCGA		TCGA-2G-AAH8-01A			bam	340103614
TCGA-THCA-127	TCGA		TCGA-BJ-A0Z2-01A			bam	254142268
TCGA-THCA-128	TCGA		TCGA-BJ-A0ZA-01A			bam	682831137
TCGA-THCA-13	TCGA		TCGA-BJ-A0Z3-01A			bam	304837964
TCGA-THCA-173	TCGA		TCGA-BJ-A290-01A			bam	470750384
TCGA-THCA-196	TCGA		TCGA-DJ-A13V-01A			bam	273035732
TCGA-THCA-197	TCGA		TCGA-DJ-A13X-01A			bam	271476708
TCGA-THCA-219	TCGA		TCGA-BJ-A3PU-01A			bam	381679727
TCGA-THCA-233	TCGA		TCGA-4C-A93U-01A			bam	246818094
TCGA-THCA-238	TCGA		TCGA-BJ-A192-01A			bam	525564656
TCGA-THCA-356	TCGA		TCGA-CE-A13K-01A			bam	367890906
TCGA-THCA-404	TCGA		TCGA-BJ-A0ZC-01A			bam	230830665
TCGA-THCA-49	TCGA		TCGA-BJ-A0Z5-01A			bam	387409378
TCGA-THCA-57	TCGA		TCGA-BJ-A0Z0-01A			bam	285406787
TCGA-THCA-92	TCGA		TCGA-DJ-A13M-01A			bam	365668501
TCGA-UCEC-1	TCGA		TCGA-AP-A051-01A			bam	263004334
TCGA-UCEC-139	TCGA		TCGA-BG-A0RY-01A			bam	269212675
TCGA-UCEC-147	TCGA		TCGA-BG-A0MH-01A			bam	243375825
TCGA-UCEC-182	TCGA		TCGA-B5-A0JN-01A			bam	241410806
TCGA-UCEC-262	TCGA		TCGA-BG-A0MK-01A			bam	407443989
TCGA-UCEC-309	TCGA		TCGA-BK-A0C9-01A			bam	325474294
TCGA-UCEC-334	TCGA		TCGA-B5-A11Y-01A			bam	247221321
TCGA-UCEC-335	TCGA		TCGA-B5-A0JT-01A			bam	131546408
TCGA-UCEC-350	TCGA		TCGA-BG-A0MS-01A			bam	364774462
TCGA-UCEC-405	TCGA		TCGA-B5-A0K9-01A			bam	297311715
TCGA-UCEC-62	TCGA		TCGA-BG-A0M8-01A			bam	296584788
TCGA-UCEC-63	TCGA		TCGA-B5-A0KB-01A			bam	101526377
TCGA-UCEC-96	TCGA		TCGA-BK-A13B-01A			bam	267483831
